date,open,high,low,close,volume
21.11.2024 22:30:00.000,1.04769,1.04773,1.04761,1.04773,107.88000000000001
21.11.2024 22:45:00.000,1.04773,1.04773,1.04761,1.04767,210.6
21.11.2024 23:00:00.000,1.04762,1.04774,1.04738,1.04738,650.6399999999999
21.11.2024 23:15:00.000,1.04738,1.04740,1.04728,1.04728,527.4300000000001
21.11.2024 23:30:00.000,1.04729,1.04745,1.04725,1.04725,456.12000000000006
21.11.2024 23:45:00.000,1.04724,1.04737,1.04679,1.04693,1371.13
22.11.2024 00:00:00.000,1.04693,1.04732,1.04686,1.04709,1417.7300000000002
22.11.2024 00:15:00.000,1.04709,1.04711,1.04666,1.04688,1407.52
22.11.2024 00:30:00.000,1.04689,1.04724,1.04686,1.04708,1721.7700000000002
22.11.2024 00:45:00.000,1.04707,1.04757,1.04688,1.04757,2954.74
22.11.2024 01:00:00.000,1.04757,1.04774,1.04744,1.04753,1581.8900000000003
22.11.2024 01:15:00.000,1.04752,1.04769,1.04735,1.04735,1393.7699999999998
22.11.2024 01:30:00.000,1.04735,1.04763,1.04724,1.04747,1939.25
22.11.2024 01:45:00.000,1.04747,1.04780,1.04695,1.04718,3193.11
22.11.2024 02:00:00.000,1.04719,1.04734,1.04673,1.04677,1542.87
22.11.2024 02:15:00.000,1.04677,1.04718,1.04676,1.04702,1395.03
22.11.2024 02:30:00.000,1.04702,1.04707,1.04674,1.04698,1016.2499999999999
22.11.2024 02:45:00.000,1.04698,1.04730,1.04684,1.04730,1965.81
22.11.2024 03:00:00.000,1.04731,1.04753,1.04725,1.04743,2457.8300000000004
22.11.2024 03:15:00.000,1.04744,1.04785,1.04732,1.04773,2854.2499999999995
22.11.2024 03:30:00.000,1.04772,1.04772,1.04734,1.04743,1881.1200000000003
22.11.2024 03:45:00.000,1.04742,1.04769,1.04733,1.04752,1635.7
22.11.2024 04:00:00.000,1.04751,1.04759,1.04727,1.04728,2352.6800000000003
22.11.2024 04:15:00.000,1.04729,1.04743,1.04720,1.04737,1428.3100000000002
22.11.2024 04:30:00.000,1.04734,1.04734,1.04705,1.04706,1423.82
22.11.2024 04:45:00.000,1.04704,1.04764,1.04697,1.04748,2512.4700000000007
22.11.2024 05:00:00.000,1.04748,1.04748,1.04690,1.04702,1878.9199999999998
22.11.2024 05:15:00.000,1.04701,1.04707,1.04655,1.04663,1994.7900000000002
22.11.2024 05:30:00.000,1.04662,1.04665,1.04626,1.04627,1871.7599999999998
22.11.2024 05:45:00.000,1.04627,1.04666,1.04617,1.04649,1971.27
22.11.2024 06:00:00.000,1.04648,1.04700,1.04638,1.04680,2650.15
22.11.2024 06:15:00.000,1.04681,1.04693,1.04640,1.04662,1600.6599999999999
22.11.2024 06:30:00.000,1.04663,1.04701,1.04663,1.04683,1463.26
22.11.2024 06:45:00.000,1.04683,1.04707,1.04682,1.04695,2226.29
22.11.2024 07:00:00.000,1.04695,1.04717,1.04626,1.04642,3763.4799999999996
22.11.2024 07:15:00.000,1.04642,1.04797,1.04642,1.04796,3201.9900000000007
22.11.2024 07:30:00.000,1.04796,1.04894,1.04782,1.04864,4893.460000000001
22.11.2024 07:45:00.000,1.04864,1.04889,1.04837,1.04863,2509.9100000000003
22.11.2024 08:00:00.000,1.04862,1.04982,1.04853,1.04968,3677.5099999999993
22.11.2024 08:15:00.000,1.04963,1.04963,1.04668,1.04803,11017.300000000003
22.11.2024 08:30:00.000,1.04805,1.04865,1.04670,1.04726,6550.12
22.11.2024 08:45:00.000,1.04727,1.04743,1.04413,1.04439,5230.670000000001
22.11.2024 09:00:00.000,1.04442,1.04446,1.03327,1.03401,13171.48
22.11.2024 09:15:00.000,1.03401,1.04092,1.03381,1.04092,11578.0799
22.11.2024 09:30:00.000,1.04086,1.04206,1.04000,1.04159,6747.5599999999995
22.11.2024 09:45:00.000,1.04159,1.04193,1.04013,1.04021,6247.280000000002
22.11.2024 10:00:00.000,1.04022,1.04034,1.03851,1.03974,9635.890000000001
22.11.2024 10:15:00.000,1.03975,1.04194,1.03970,1.04170,6091.94
22.11.2024 10:30:00.000,1.04167,1.04305,1.04158,1.04284,9492.19
22.11.2024 10:45:00.000,1.04282,1.04376,1.04225,1.04300,5174.78
22.11.2024 11:00:00.000,1.04299,1.04301,1.04162,1.04226,3748.4599999999996
22.11.2024 11:15:00.000,1.04233,1.04272,1.04168,1.04229,3781.4400000000005
22.11.2024 11:30:00.000,1.04230,1.04268,1.04117,1.04132,3223.1499999999996
22.11.2024 11:45:00.000,1.04134,1.04169,1.04083,1.04169,6095.370000000001
22.11.2024 12:00:00.000,1.04169,1.04199,1.04113,1.04129,5340.26
22.11.2024 12:15:00.000,1.04130,1.04152,1.04006,1.04012,3875.9300000000003
22.11.2024 12:30:00.000,1.04011,1.04096,1.03980,1.04088,4576.6
22.11.2024 12:45:00.000,1.04089,1.04137,1.04008,1.04075,4969.020000000001
22.11.2024 13:00:00.000,1.04078,1.04190,1.04065,1.04190,6346.86
22.11.2024 13:15:00.000,1.04191,1.04290,1.04183,1.04193,6418.5599999999995
22.11.2024 13:30:00.000,1.04193,1.04346,1.04192,1.04337,7083.660000000001
22.11.2024 13:45:00.000,1.04338,1.04343,1.04237,1.04297,4882.410000000001
22.11.2024 14:00:00.000,1.04298,1.04349,1.04241,1.04251,5720.639999999999
22.11.2024 14:15:00.000,1.04252,1.04292,1.04112,1.04116,4747.79
22.11.2024 14:30:00.000,1.04117,1.04257,1.04107,1.04224,6871.73
22.11.2024 14:45:00.000,1.04223,1.04223,1.04027,1.04048,12760.339899999999
22.11.2024 15:00:00.000,1.04048,1.04202,1.03953,1.04125,13975.6
22.11.2024 15:15:00.000,1.04124,1.04194,1.04114,1.04127,9416.29
22.11.2024 15:30:00.000,1.04128,1.04134,1.04053,1.04129,10629.130000000001
22.11.2024 15:45:00.000,1.04130,1.04185,1.04018,1.04108,13388.3401
22.11.2024 16:00:00.000,1.04108,1.04119,1.04037,1.04046,6691.900000000001
22.11.2024 16:15:00.000,1.04046,1.04062,1.03923,1.03957,4908.079999999999
